Run0,Run1,Run2,Run3,Run4,Run5
-81173.16,-238118.16,-135392.16,-66399.16,-180276.16,-40221.16
-79724.47,-58670.47,-126488.47,-9860.47,-144268.47,-17358.47
-130615.07,-194167.07,-198345.07,-116903.07,-196637.07,-75157.07
-211661.93,-348944.93,-196183.93,-188374.93,-294303.93,-200733.93
16247.84,37190.84,219407.84,45782.84,78237.84,135229.84
67517.34,79893.34,230436.34,50608.34,70790.34,102770.34
122663.58,126713.58,100052.58,154091.58,147650.58,157427.58
-1532.52,-126529.52,-67469.52,-40381.52,-40257.52,-37265.52
105497.83,-27902.17,8973.83,113551.83,-63648.17,-1594.17
79314.11,-52485.89,-13541.89,66813.11,-46219.89,-32342.89
-39041.83,126727.17,-19445.83,-15803.83,17059.17,-50902.83
-82796.98,30709.02,-8211.98,-15007.98,53509.02,-31168.98
-238118.16,-135392.16,-66399.16,-180276.16,-40221.16,-76625.16
-58670.47,-126488.47,-9860.47,-144268.47,-17358.47,-102988.47
-194167.07,-198345.07,-116903.07,-196637.07,-75157.07,-141595.07
-348944.93,-196183.93,-188374.93,-294303.93,-200733.93,-227785.93
37190.84,219407.84,45782.84,78237.84,135229.84,88714.84
79893.34,230436.34,50608.34,70790.34,102770.34,40043.34
126713.58,100052.58,154091.58,147650.58,157427.58,185405.58
-126529.52,-67469.52,-40381.52,-40257.52,-37265.52,-42426.52
-27902.17,8973.83,113551.83,-63648.17,-1594.17,60584.83
-52485.89,-13541.89,66813.11,-46219.89,-32342.89,-29435.89
126727.17,-19445.83,-15803.83,17059.17,-50902.83,-5790.83
30709.02,-8211.98,-15007.98,53509.02,-31168.98,-92922.98
-135392.16,-66399.16,-180276.16,-40221.16,-76625.16,-196720.16
-126488.47,-9860.47,-144268.47,-17358.47,-102988.47,-139952.47
-198345.07,-116903.07,-196637.07,-75157.07,-141595.07,-127563.07
-196183.93,-188374.93,-294303.93,-200733.93,-227785.93,-290356.93
219407.84,45782.84,78237.84,135229.84,88714.84,59399.84
230436.34,50608.34,70790.34,102770.34,40043.34,118169.34
100052.58,154091.58,147650.58,157427.58,185405.58,118939.58
-66911.19,-39823.19,-39699.19,-36707.19,-41868.19,-39450.19
8973.83,113551.83,-63648.17,-1594.17,60584.83,10920.83
-13541.89,66813.11,-46219.89,-32342.89,-29435.89,-41246.89
-19445.83,-15803.83,17059.17,-50902.83,-5790.83,-8075.83
-8211.98,-15007.98,53509.02,-31168.98,-92922.98,8036.02
-66399.16,-180276.16,-40221.16,-76625.16,-196720.16,-91347.16
-9860.47,-144268.47,-17358.47,-102988.47,-139952.47,8015.53
-116903.07,-196637.07,-75157.07,-141595.07,-127563.07,-79500.07
-188374.93,-294303.93,-200733.93,-227785.93,-290356.93,-176107.93
45782.84,78237.84,135229.84,88714.84,59399.84,108571.84
50608.34,70790.34,102770.34,40043.34,118169.34,120019.34
154091.58,147650.58,157427.58,185405.58,118939.58,-2087.42
-40381.52,-40257.52,-37265.52,-42426.52,-40008.52,-181374.52
113551.83,-63648.17,-1594.17,60584.83,10920.83,-68857.17
66813.11,-46219.89,-32342.89,-29435.89,-41246.89,30226.11
-15803.83,17059.17,-50902.83,-5790.83,-8075.83,33068.17
-15007.98,53509.02,-31168.98,-92922.98,8036.02,-11395.98
-180276.16,-40221.16,-76625.16,-196720.16,-91347.16,-150202.16
-144268.47,-17358.47,-102988.47,-139952.47,8015.53,-47535.47
-196637.07,-75157.07,-141595.07,-127563.07,-79500.07,10710.93
-294303.93,-200733.93,-227785.93,-290356.93,-176107.93,-148716.93
78237.84,135229.84,88714.84,59399.84,108571.84,49616.84
70790.34,102770.34,40043.34,118169.34,120019.34,72885.34
147650.58,157427.58,185405.58,118939.58,-2087.42,191137.58
-40257.52,-37265.52,-42426.52,-40008.52,-181374.52,33093.48
-63648.17,-1594.17,60584.83,10920.83,-68857.17,115170.83
-46219.89,-32342.89,-29435.89,-41246.89,30226.11,97442.11
17059.17,-50902.83,-5790.83,-8075.83,33068.17,44747.17
53509.02,-31168.98,-92922.98,8036.02,-11395.98,-34190.98
-40221.16,-76625.16,-196720.16,-91347.16,-150202.16,-109211.16
-17358.47,-102988.47,-139952.47,8015.53,-47535.47,-30927.47
-75157.07,-141595.07,-127563.07,-79500.07,10710.93,-71806.07
-200733.93,-227785.93,-290356.93,-176107.93,-148716.93,-240014.93
135229.84,88714.84,59399.84,108571.84,49616.84,99669.84
102770.34,40043.34,118169.34,120019.34,72885.34,75842.34
157427.58,185405.58,118939.58,-2087.42,191137.58,126237.58
-37265.52,-42426.52,-40008.52,-181374.52,33093.48,64512.48
-1594.17,60584.83,10920.83,-68857.17,115170.83,55171.83
-32342.89,-29435.89,-41246.89,30226.11,97442.11,158682.11
-50902.83,-5790.83,-8075.83,33068.17,44747.17,6924.17
-31168.98,-92922.98,8036.02,-11395.98,-34190.98,64529.02
-76625.16,-196720.16,-91347.16,-150202.16,-109211.16,-31039.16
-102988.47,-139952.47,8015.53,-47535.47,-30927.47,-82059.47
-141595.07,-127563.07,-79500.07,10710.93,-71806.07,-90624.07
-227785.93,-290356.93,-176107.93,-148716.93,-240014.93,-326404.93
88714.84,59399.84,108571.84,49616.84,99669.84,66136.84
40043.34,118169.34,120019.34,72885.34,75842.34,110680.34
185405.58,118939.58,-2087.42,191137.58,126237.58,245239.58
-41868.19,-39450.19,-180816.19,33651.81,65070.81,27633.81
60584.83,10920.83,-68857.17,115170.83,55171.83,140216.83
-29435.89,-41246.89,30226.11,97442.11,158682.11,107407.11
-5790.83,-8075.83,33068.17,44747.17,6924.17,65028.17
-92922.98,8036.02,-11395.98,-34190.98,64529.02,-1192.98
-196720.16,-91347.16,-150202.16,-109211.16,-31039.16,-183981.16
-139952.47,8015.53,-47535.47,-30927.47,-82059.47,-121047.47
-127563.07,-79500.07,10710.93,-71806.07,-90624.07,-183880.07
-290356.93,-176107.93,-148716.93,-240014.93,-326404.93,-310842.93
59399.84,108571.84,49616.84,99669.84,66136.84,76075.84
118169.34,120019.34,72885.34,75842.34,110680.34,111264.34
118939.58,-2087.42,191137.58,126237.58,245239.58,62504.58
-40008.52,-181374.52,33093.48,64512.48,27075.48,40118.48
10920.83,-68857.17,115170.83,55171.83,140216.83,102514.83
-41246.89,30226.11,97442.11,158682.11,107407.11,-28243.89
-8075.83,33068.17,44747.17,6924.17,65028.17,-25220.83
8036.02,-11395.98,-34190.98,64529.02,-1192.98,-10339.98
-91347.16,-150202.16,-109211.16,-31039.16,-183981.16,-160140.16
8015.53,-47535.47,-30927.47,-82059.47,-121047.47,-103175.47
-79500.07,10710.93,-71806.07,-90624.07,-183880.07,-154278.07
-176107.93,-148716.93,-240014.93,-326404.93,-310842.93,-282847.93
108571.84,49616.84,99669.84,66136.84,76075.84,73205.84
120019.34,72885.34,75842.34,110680.34,111264.34,80832.34
-2087.42,191137.58,126237.58,245239.58,62504.58,130522.58
-181374.52,33093.48,64512.48,27075.48,40118.48,-264193.52
-68857.17,115170.83,55171.83,140216.83,102514.83,64381.83
30226.11,97442.11,158682.11,107407.11,-28243.89,152247.11
33068.17,44747.17,6924.17,65028.17,-25220.83,20077.17
-11395.98,-34190.98,64529.02,-1192.98,-10339.98,-89956.98
-150202.16,-109211.16,-31039.16,-183981.16,-160140.16,-195933.16
-47535.47,-30927.47,-82059.47,-121047.47,-103175.47,-117557.47
10710.93,-71806.07,-90624.07,-183880.07,-154278.07,-127934.07
-148716.93,-240014.93,-326404.93,-310842.93,-282847.93,-335961.93
49616.84,99669.84,66136.84,76075.84,73205.84,39778.84
72885.34,75842.34,110680.34,111264.34,80832.34,107564.34
191137.58,126237.58,245239.58,62504.58,130522.58,97681.58
33093.48,64512.48,27075.48,40118.48,-264193.52,22964.48
115170.83,55171.83,140216.83,102514.83,64381.83,61819.83
97442.11,158682.11,107407.11,-28243.89,152247.11,23875.11
44747.17,6924.17,65028.17,-25220.83,20077.17,24208.17
-34190.98,64529.02,-1192.98,-10339.98,-89956.98,12928.02
-109211.16,-31039.16,-183981.16,-160140.16,-195933.16,-156729.16
-30927.47,-82059.47,-121047.47,-103175.47,-117557.47,-116432.47
-71806.07,-90624.07,-183880.07,-154278.07,-127934.07,-153380.07
-240014.93,-326404.93,-310842.93,-282847.93,-335961.93,-157691.93
99669.84,66136.84,76075.84,73205.84,39778.84,111958.84
75842.34,110680.34,111264.34,80832.34,107564.34,87203.34
126237.58,245239.58,62504.58,130522.58,97681.58,145297.58
65070.81,27633.81,40676.81,-263635.19,23522.81,-13262.19
55171.83,140216.83,102514.83,64381.83,61819.83,-66589.17
158682.11,107407.11,-28243.89,152247.11,23875.11,-29087.89
6924.17,65028.17,-25220.83,20077.17,24208.17,39955.17
64529.02,-1192.98,-10339.98,-89956.98,12928.02,20552.02
-31039.16,-183981.16,-160140.16,-195933.16,-156729.16,-6903.16
-82059.47,-121047.47,-103175.47,-117557.47,-116432.47,-57897.47
-90624.07,-183880.07,-154278.07,-127934.07,-153380.07,-116006.07
-326404.93,-310842.93,-282847.93,-335961.93,-157691.93,-273525.93
66136.84,76075.84,73205.84,39778.84,111958.84,75802.84
110680.34,111264.34,80832.34,107564.34,87203.34,63352.34
245239.58,62504.58,130522.58,97681.58,145297.58,107684.58
27075.48,40118.48,-264193.52,22964.48,-13820.52,-53262.52
140216.83,102514.83,64381.83,61819.83,-66589.17,30559.83
107407.11,-28243.89,152247.11,23875.11,-29087.89,48013.11
65028.17,-25220.83,20077.17,24208.17,39955.17,55769.17
-1192.98,-10339.98,-89956.98,12928.02,20552.02,7918.02
-183981.16,-160140.16,-195933.16,-156729.16,-6903.16,-81779.16
-121047.47,-103175.47,-117557.47,-116432.47,-57897.47,195.53
-183880.07,-154278.07,-127934.07,-153380.07,-116006.07,-23101.07
-310842.93,-282847.93,-335961.93,-157691.93,-273525.93,-119588.93
76075.84,73205.84,39778.84,111958.84,75802.84,100754.84
111264.34,80832.34,107564.34,87203.34,63352.34,94367.34
62504.58,130522.58,97681.58,145297.58,107684.58,123400.58
40118.48,-264193.52,22964.48,-13820.52,-53262.52,36776.48
102514.83,64381.83,61819.83,-66589.17,30559.83,110070.83
-28243.89,152247.11,23875.11,-29087.89,48013.11,81329.11
-25220.83,20077.17,24208.17,39955.17,55769.17,7568.17
-10339.98,-89956.98,12928.02,20552.02,7918.02,33378.02
-160140.16,-195933.16,-156729.16,-6903.16,-81779.16,-34390.16
-103175.47,-117557.47,-116432.47,-57897.47,195.53,-14451.47
-154278.07,-127934.07,-153380.07,-116006.07,-23101.07,-14427.07
-282847.93,-335961.93,-157691.93,-273525.93,-119588.93,-141118.93
73205.84,39778.84,111958.84,75802.84,100754.84,90660.84
80832.34,107564.34,87203.34,63352.34,94367.34,121698.34
130522.58,97681.58,145297.58,107684.58,123400.58,113670.58
-264193.52,22964.48,-13820.52,-53262.52,36776.48,-115735.52
64381.83,61819.83,-66589.17,30559.83,110070.83,46164.83
152247.11,23875.11,-29087.89,48013.11,81329.11,64718.11
20077.17,24208.17,39955.17,55769.17,7568.17,3370.17
-89956.98,12928.02,20552.02,7918.02,33378.02,18838.02
-195933.16,-156729.16,-6903.16,-81779.16,-34390.16,-62659.16
-117557.47,-116432.47,-57897.47,195.53,-14451.47,-2583.47
-127934.07,-153380.07,-116006.07,-23101.07,-14427.07,-45607.07
-335961.93,-157691.93,-273525.93,-119588.93,-141118.93,-150929.93
39778.84,111958.84,75802.84,100754.84,90660.84,88536.84
107564.34,87203.34,63352.34,94367.34,121698.34,126662.34
97681.58,145297.58,107684.58,123400.58,113670.58,131361.58
23522.81,-13262.19,-52704.19,37334.81,-115177.19,29062.81
61819.83,-66589.17,30559.83,110070.83,46164.83,-4572.17
23875.11,-29087.89,48013.11,81329.11,64718.11,60163.11
24208.17,39955.17,55769.17,7568.17,3370.17,7314.17
12928.02,20552.02,7918.02,33378.02,18838.02,24236.02
-156729.16,-6903.16,-81779.16,-34390.16,-62659.16,-24940.16
-116432.47,-57897.47,195.53,-14451.47,-2583.47,-30762.47
-153380.07,-116006.07,-23101.07,-14427.07,-45607.07,-43429.07
-157691.93,-273525.93,-119588.93,-141118.93,-150929.93,-133155.93
111958.84,75802.84,100754.84,90660.84,88536.84,86312.84
87203.34,63352.34,94367.34,121698.34,126662.34,89718.34
145297.58,107684.58,123400.58,113670.58,131361.58,261865.58
-13820.52,-53262.52,36776.48,-115735.52,28504.48,49512.48
-66589.17,30559.83,110070.83,46164.83,-4572.17,-26441.17
-29087.89,48013.11,81329.11,64718.11,60163.11,56472.11
39955.17,55769.17,7568.17,3370.17,7314.17,5417.17
20552.02,7918.02,33378.02,18838.02,24236.02,-462.98
-6903.16,-81779.16,-34390.16,-62659.16,-24940.16,-62147.16
-57897.47,195.53,-14451.47,-2583.47,-30762.47,-8455.47
-116006.07,-23101.07,-14427.07,-45607.07,-43429.07,-462196.07
-273525.93,-119588.93,-141118.93,-150929.93,-133155.93,-169920.93
75802.84,100754.84,90660.84,88536.84,86312.84,90357.84
63352.34,94367.34,121698.34,126662.34,89718.34,101315.34
107684.58,123400.58,113670.58,131361.58,261865.58,121702.58
-53262.52,36776.48,-115735.52,28504.48,49512.48,-15311.52
30559.83,110070.83,46164.83,-4572.17,-26441.17,102626.83
48013.11,81329.11,64718.11,60163.11,56472.11,29354.11
55769.17,7568.17,3370.17,7314.17,5417.17,-18955.83
7918.02,33378.02,18838.02,24236.02,-462.98,9603.02
-81779.16,-34390.16,-62659.16,-24940.16,-62147.16,-55320.16
195.53,-14451.47,-2583.47,-30762.47,-8455.47,-7733.47
-23101.07,-14427.07,-45607.07,-43429.07,-462196.07,-50064.07
