Outflow,Twelevation
22100,3139.984213
22150,3139.994926
22200,3140.005626
22250,3140.016314
22300,3140.02699
22350,3140.037655
22400,3140.048307
22450,3140.058947
22500,3140.069576
22550,3140.080193
22600,3140.090798
22650,3140.101391
22700,3140.111973
22750,3140.122543
22800,3140.133101
22850,3140.143648
22900,3140.154183
22950,3140.164707
23000,3140.175219
23050,3140.18572
23100,3140.19621
23150,3140.206688
23200,3140.217155
23250,3140.22761
23300,3140.238055
23350,3140.248488
23400,3140.25891
23450,3140.269321
23500,3140.27972
23550,3140.290109
23600,3140.300487
23650,3140.310853
23700,3140.321209
23750,3140.331554
23800,3140.341888
23850,3140.352211
23900,3140.362523
23950,3140.372825
24000,3140.383116
24050,3140.393396
24100,3140.403665
24150,3140.413924
24200,3140.424172
24250,3140.434409
24300,3140.444636
24350,3140.454853
24400,3140.465059
24450,3140.475254
24500,3140.485439
24550,3140.495614
24600,3140.505778
24650,3140.515932
24700,3140.526076
24750,3140.536209
24800,3140.546333
24850,3140.556446
24900,3140.566549
24950,3140.576641
25000,3140.586724
25050,3140.596796
25100,3140.606859
25150,3140.616911
25200,3140.626954
25250,3140.636986
25300,3140.647009
25350,3140.657022
25400,3140.667025
25450,3140.677018
25500,3140.687001
25550,3140.696974
25600,3140.706938
25650,3140.716892
25700,3140.726836
25750,3140.73677
25800,3140.746695
25850,3140.756611
25900,3140.766516
25950,3140.776413
26000,3140.786299
26050,3140.796176
26100,3140.806044
26150,3140.815902
26200,3140.825751
26250,3140.83559
26300,3140.84542
26350,3140.855241
26400,3140.865052
26450,3140.874855
26500,3140.884647
26550,3140.894431
26600,3140.904205
26650,3140.913971
26700,3140.923727
26750,3140.933474
26800,3140.943211
26850,3140.95294
26900,3140.96266
26950,3140.97237
27000,3140.982072
27050,3140.991765
27100,3141.001448
27150,3141.011123
27200,3141.020789
27250,3141.030446
27300,3141.040094
27350,3141.049734
27400,3141.059364
27450,3141.068986
27500,3141.078599
27550,3141.088203
27600,3141.097798
27650,3141.107385
27700,3141.116963
27750,3141.126533
27800,3141.136094
27850,3141.145646
27900,3141.15519
27950,3141.164725
28000,3141.174252
28050,3141.18377
28100,3141.19328
28150,3141.202781
28200,3141.212274
28250,3141.221758
28300,3141.231234
28350,3141.240702
28400,3141.250161
28450,3141.259612
28500,3141.269055
28550,3141.278489
28600,3141.287915
28650,3141.297333
28700,3141.306743
28750,3141.316144
28800,3141.325537
28850,3141.334923
28900,3141.3443
28950,3141.353669
29000,3141.363029
29050,3141.372382
29100,3141.381727
29150,3141.391064
29200,3141.400392
29250,3141.409713
29300,3141.419026
29350,3141.42833
29400,3141.437627
29450,3141.446916
29500,3141.456197
29550,3141.465471
29600,3141.474736
29650,3141.483994
29700,3141.493243
29750,3141.502485
29800,3141.51172
29850,3141.520946
29900,3141.530165
29950,3141.539376
30000,3141.548579
30050,3141.557775
30100,3141.566963
30150,3141.576143
30200,3141.585316
30250,3141.594481
30300,3141.603639
30350,3141.612789
30400,3141.621932
30450,3141.631067
30500,3141.640194
30550,3141.649314
30600,3141.658427
30650,3141.667532
30700,3141.67663
30750,3141.68572
30800,3141.694803
30850,3141.703879
30900,3141.712947
30950,3141.722008
31000,3141.731061
31050,3141.740108
31100,3141.749147
31150,3141.758179
31200,3141.767203
31250,3141.77622
31300,3141.78523
31350,3141.794233
31400,3141.803229
31450,3141.812217
31500,3141.821199
31550,3141.830173
31600,3141.83914
31650,3141.8481
31700,3141.857053
31750,3141.865999
31800,3141.874938
31850,3141.88387
31900,3141.892795
31950,3141.901713
32000,3141.910623
32050,3141.919527
32100,3141.928424
32150,3141.937314
32200,3141.946198
32250,3141.955074
32300,3141.963943
32350,3141.972806
32400,3141.981661
32450,3141.99051
32500,3141.999352
32550,3142.008187
32600,3142.017016
32650,3142.025838
32700,3142.034653
32750,3142.043461
32800,3142.052262
32850,3142.061057
32900,3142.069845
32950,3142.078626
33000,3142.087401
33050,3142.096169
33100,3142.104931
33150,3142.113685
33200,3142.122434
33250,3142.131175
33300,3142.13991
33350,3142.148639
33400,3142.157361
33450,3142.166076
33500,3142.174785
33550,3142.183488
33600,3142.192184
33650,3142.200873
33700,3142.209556
33750,3142.218233
33800,3142.226903
33850,3142.235567
33900,3142.244224
33950,3142.252875
34000,3142.26152
34050,3142.270158
34100,3142.27879
34150,3142.287416
34200,3142.296035
34250,3142.304648
34300,3142.313255
34350,3142.321855
34400,3142.330449
34450,3142.339037
34500,3142.347619
34550,3142.356195
34600,3142.364764
34650,3142.373327
34700,3142.381884
34750,3142.390435
34800,3142.398979
34850,3142.407518
34900,3142.41605
34950,3142.424576
35000,3142.433096
35050,3142.441611
35100,3142.450119
35150,3142.45862
35200,3142.467116
35250,3142.475606
35300,3142.48409
35350,3142.492568
35400,3142.50104
35450,3142.509506
35500,3142.517965
35550,3142.526419
35600,3142.534867
35650,3142.543309
35700,3142.551746
35750,3142.560176
35800,3142.5686
35850,3142.577019
35900,3142.585431
35950,3142.593838
36000,3142.602239
36050,3142.610634
36100,3142.619023
36150,3142.627407
36200,3142.635784
36250,3142.644156
36300,3142.652522
36350,3142.660883
36400,3142.669237
36450,3142.677586
36500,3142.685929
36550,3142.694267
36600,3142.702598
36650,3142.710924
36700,3142.719245
36750,3142.727559
36800,3142.735868
36850,3142.744172
36900,3142.752469
36950,3142.760762
37000,3142.769048
37050,3142.777329
37100,3142.785604
37150,3142.793874
37200,3142.802138
37250,3142.810397
37300,3142.81865
37350,3142.826898
37400,3142.83514
37450,3142.843376
37500,3142.851607
37550,3142.859833
37600,3142.868053
37650,3142.876267
37700,3142.884477
37750,3142.89268
37800,3142.900879
37850,3142.909072
37900,3142.917259
37950,3142.925441
38000,3142.933618
38050,3142.941789
38100,3142.949955
38150,3142.958116
38200,3142.966271
38250,3142.974421
38300,3142.982565
38350,3142.990705
38400,3142.998839
38450,3143.006967
38500,3143.015091
38550,3143.023209
38600,3143.031322
38650,3143.039429
38700,3143.047531
38750,3143.055629
38800,3143.06372
38850,3143.071807
38900,3143.079889
38950,3143.087965
39000,3143.096036
39050,3143.104102
39100,3143.112163
39150,3143.120218
39200,3143.128269
39250,3143.136314
39300,3143.144354
39350,3143.15239
39400,3143.16042
39450,3143.168444
39500,3143.176464
39550,3143.184479
39600,3143.192489
39650,3143.200493
39700,3143.208493
39750,3143.216487
39800,3143.224477
39850,3143.232461
39900,3143.240441
39950,3143.248416
40000,3143.256385
40050,3143.26435
40100,3143.272309
40150,3143.280264
40200,3143.288213
40250,3143.296158
40300,3143.304098
40350,3143.312033
40400,3143.319963
40450,3143.327888
40500,3143.335808
40550,3143.343723
40600,3143.351633
40650,3143.359539
40700,3143.36744
40750,3143.375335
40800,3143.383226
40850,3143.391112
40900,3143.398994
40950,3143.40687
41000,3143.414742
41050,3143.422609
41100,3143.430471
41150,3143.438328
41200,3143.446181
41250,3143.454028
41300,3143.461871
41350,3143.46971
