,inflow
Dec-51,90275
Jan-52,187734
Feb-52,78013
Mar-52,72320
Apr-52,72494
May-52,102634
Jun-52,72791
Jul-52,71460
Aug-52,67512
Sep-52,109451
Oct-52,80160
Nov-52,70172
Dec-52,84987
Jan-53,77178
Feb-53,71104
Mar-53,77116
Apr-53,60354
May-53,-4251
Jun-53,-5423
Jul-53,88369
Aug-53,105524
Sep-53,86435
Oct-53,61560
Nov-53,73920
Dec-53,79576
Jan-54,79208
Feb-54,73382
Mar-54,97468
Apr-54,92963
May-54,-5524
Jun-54,60812
Jul-54,77854
Aug-54,88000
Sep-54,85226
Oct-54,72566
Nov-54,70054
Dec-54,80499
Jan-55,78715
Feb-55,87544
Mar-55,66663
Apr-55,59503
May-55,1050
Jun-55,62889
Jul-55,107553
Aug-55,248423
Sep-55,89345
Oct-55,78248
Nov-55,82193
Dec-55,90276
Jan-56,90459
Feb-56,91185
Mar-56,58363
Apr-56,35523
May-56,-10044
Jun-56,44305
Jul-56,98637
Aug-56,81335
Sep-56,72309
Oct-56,69824
Nov-56,80883
Dec-56,84987
Jan-57,120158
Feb-57,110814
Mar-57,102511
Apr-57,40062
May-57,-2389
Jun-57,-44910
Jul-57,71878
Aug-57,126676
Sep-57,115586
Oct-57,100236
Nov-57,114682
Dec-57,85787
Jan-58,77547
Feb-58,68828
Mar-58,144077
Apr-58,119502
May-58,27926
Jun-58,142887
Jul-58,111340
Aug-58,105924
Sep-58,132176
Oct-58,93042
Nov-58,88499
Dec-58,81051
Jan-59,79884
Feb-59,73771
Mar-59,80006
Apr-59,57730
May-59,40562
Jun-59,22093
Jul-59,67370
Aug-59,124339
Sep-59,78842
Oct-59,81101
Nov-59,132355
Dec-59,101035
Jan-60,103925
Feb-60,94981
Mar-60,134731
Apr-60,96242
May-60,70654
Jun-60,25954
Jul-60,84999
Aug-60,78168
Sep-60,81031
Oct-60,97715
Nov-60,96949
Dec-60,83389
Jan-61,83204
Feb-61,79380
Mar-61,74658
Apr-61,74546
May-61,48291
Jun-61,157984
Jul-61,106385
Aug-61,104355
Sep-61,109267
Oct-61,102248
Nov-61,100638
Dec-61,91812
Jan-62,80129
Feb-62,121588
Mar-62,78653
Apr-62,158953
May-62,142294
Jun-62,27894
Jul-62,157764
Aug-62,95956
Sep-62,60592
Oct-62,74164
Nov-62,71065
Dec-62,68877
Jan-63,71828
Feb-63,64051
Mar-63,71324
Apr-63,65263
May-63,70488
Jun-63,60490
Jul-63,71619
Aug-63,111181
Sep-63,125453
Oct-63,71201
Nov-63,75884
Dec-63,71583
Jan-64,64389
Feb-64,72088
Mar-64,50799
Apr-64,87607
May-64,98023
Jun-64,69922
Jul-64,77787
Aug-64,176051
Sep-64,87269
Oct-64,83290
Nov-64,79753
Dec-64,73857
Jan-65,107922
Feb-65,82546
Mar-65,69431
Apr-65,109564
May-65,72136
Jun-65,17511
Jul-65,50099
Aug-65,63374
Sep-65,72909
Oct-65,71785
Nov-65,93616
Dec-65,133133
Jan-66,140450
Feb-66,101928
Mar-66,161171
Apr-66,106114
May-66,90029
Jun-66,90845
Jul-66,94290
Aug-66,64757
Sep-66,55230
Oct-66,71091
Nov-66,64876
Dec-66,217863
Jan-67,97100
Feb-67,88710
Mar-67,74534
Apr-67,74516
May-67,52336
Jun-67,69994
Jul-67,105696
Aug-67,150964
Sep-67,180197
Oct-67,101097
Nov-67,94509
Dec-67,107861
Jan-68,87754
Feb-68,134212
Mar-68,104909
Apr-68,174247
May-68,100112
Jun-68,85691
Jul-68,93233
Aug-68,154899
Sep-68,93285
Oct-68,77430
Nov-68,99033
Dec-68,87385
Jan-69,155823
Feb-69,132307
Mar-69,107922
Apr-69,188944
May-69,169288
Jun-69,58330
Jul-69,94063
Aug-69,126800
Sep-69,107006
Oct-69,90275
Nov-69,106351
Dec-69,79206
Jan-70,124462
Feb-70,107371
Mar-70,86463
Apr-70,80805
May-70,101564
Jun-70,74612
Jul-70,102161
Aug-70,82036
Sep-70,110327
Oct-70,98183
Nov-70,94509
Dec-70,90336
Jan-71,112753
Feb-71,73101
Mar-71,62804
Apr-71,44535
May-71,66197
Jun-71,55493
Jul-71,44018
Aug-71,124715
Sep-71,79784
Oct-71,150495
Nov-71,82113
Dec-71,128199
Jan-72,95087
Feb-72,85858
Mar-72,41793
Apr-72,64985
May-72,63852
Jun-72,92631
Jul-72,10846
Aug-72,52225
Sep-72,87726
Oct-72,353161
Nov-72,121135
Dec-72,114300
