,inflow
Dec-43,373574
Jan-44,286268
Feb-44,336371
Mar-44,470091
Apr-44,1050492
May-44,3684541
Jun-44,4815628
Jul-44,2462721
Aug-44,820700
Sep-44,319005
Oct-44,368992
Nov-44,372201
Dec-44,309893
Jan-45,328314
Feb-45,348379
Mar-45,417545
Apr-45,804371
May-45,3255617
Jun-45,3477253
Jul-45,2445270
Aug-45,1431286
Sep-45,481097
Oct-45,521528
Nov-45,429534
Dec-45,317955
Jan-46,338315
Feb-46,308656
Mar-46,497646
Apr-46,1227261
May-46,1979996
Jun-46,2754017
Jul-46,1381140
Aug-46,814739
Sep-46,429471
Oct-46,426221
Nov-46,467621
Dec-46,411605
Jan-47,265012
Feb-47,337511
Mar-47,634786
Apr-47,866015
May-47,3702981
Jun-47,3795350
Jul-47,2677593
Aug-47,1511965
Sep-47,754605
Oct-47,822944
Nov-47,571046
Dec-47,440793
Jan-48,372936
Feb-48,424395
Mar-48,581990
Apr-48,1708607
May-48,4108490
Jun-48,3909614
Jul-48,1611566
Aug-48,852879
Sep-48,356405
Oct-48,353187
Nov-48,395870
Dec-48,349159
Jan-49,323922
Feb-49,341251
Mar-49,673055
Apr-49,1439252
May-49,3564293
Jun-49,5184556
Jul-49,2759686
Aug-49,948988
Sep-49,400298
Oct-49,522751
Nov-49,458617
Dec-49,355922
Jan-50,349824
Feb-50,374692
Mar-50,563807
Apr-50,1281479
May-50,2239709
Jun-50,3862655
Jul-50,1950714
Aug-50,751542
Sep-50,399789
Oct-50,413820
Nov-50,355486
Dec-50,406352
Jan-51,304993
Feb-51,341914
Mar-51,414822
Apr-51,588687
May-51,2133211
Jun-51,3693973
Jul-51,2155179
Aug-51,1127697
Sep-51,509573
Oct-51,426832
Nov-51,437328
Dec-51,344670
Jan-52,481218
Feb-52,374985
Mar-52,425813
Apr-52,2449532
May-52,5554490
Jun-52,6221122
Jul-52,2249717
Aug-52,1214481
Sep-52,669865
Oct-52,365807
Nov-52,365949
Dec-52,368640
Jan-53,398606
Feb-53,355363
Mar-53,450303
Apr-53,569997
May-53,1342116
Jun-53,3943396
Jul-53,1601452
Aug-53,1001118
Sep-53,392108
Oct-53,310801
Nov-53,419779
Dec-53,338254
Jan-54,313599
Feb-54,329977
Mar-54,380026
Apr-54,705647
May-54,1804002
Jun-54,1385207
Jul-54,1206426
Aug-54,639193
Sep-54,471089
Oct-54,555384
