,inflow
Apr-70,30805
May-70,51564
Jun-70,24612
Jul-70,52161
Aug-70,32036
Sep-70,60327
Oct-70,48183
Nov-70,44509
Dec-70,40336
Jan-71,62753
Feb-71,23101
Mar-71,12804
Apr-71,-5465
May-71,16197
Jun-71,5493
Jul-71,-5982
Aug-71,74715
Sep-71,29784
Oct-71,100495
Nov-71,32113
Dec-71,78199
Jan-72,45087
Feb-72,35858
Mar-72,-8207
Apr-72,14985
May-72,13852
Jun-72,42631
Jul-72,-39154
Aug-72,2225
Sep-72,37726
Oct-72,303161
Nov-72,71135
Dec-72,64300
Jan-73,35454
Feb-73,89585
Mar-73,143488
Apr-73,305209
May-73,314460
Jun-73,43958
Jul-73,19390
Aug-73,23991
Sep-73,28556
Oct-73,11144
Nov-73,43285
Dec-73,32261
Jan-74,44693
Feb-74,36252
Mar-74,55111
Apr-74,17575
May-74,16491
Jun-74,22410
Jul-74,13218
Aug-74,20775
Sep-74,9725
Oct-74,15681
Nov-74,41492
Dec-74,27034
Jan-75,43797
Feb-75,18736
Mar-75,53437
Apr-75,52705
May-75,36848
Jun-75,13085
Jul-75,33848
Aug-75,18758
Sep-75,29487
Oct-75,17554
Nov-75,22919
Dec-75,11931
Jan-76,36047
Feb-76,42551
Mar-76,42938
Apr-76,41440
May-76,41779
Jun-76,7339
Jul-76,45684
Aug-76,7068
Sep-76,26900
Oct-76,39813
Nov-76,12082
Dec-76,25494
Jan-77,32557
Feb-77,22592
Mar-77,38610
Apr-77,29440
May-77,20709
Jun-77,12274
Jul-77,47559
Aug-77,73976
Sep-77,2711
Oct-77,44150
Nov-77,3465
Dec-77,-11751
Jan-78,-2410
Feb-78,11691
Mar-78,219840
Apr-78,39485
May-78,-37583
Jun-78,13031
Jul-78,-505
Aug-78,30908
Sep-78,49654
Oct-78,27721
Nov-78,62710
Dec-78,179127
Jan-79,50908
Feb-79,102341
Mar-79,150756
Apr-79,233726
May-79,180480
Jun-79,40751
Jul-79,2375
Aug-79,22826
Sep-79,26749
Oct-79,6627
Nov-79,21619
Dec-79,53511
Jan-80,32422
Feb-80,354852
Mar-80,108050
Apr-80,157891
May-80,133514
Jun-80,18532
Jul-80,-14310
Aug-80,51751
Sep-80,57462
Oct-80,1961
Nov-80,5004
Dec-80,-532
Jan-81,-14658
Feb-81,-10562
Mar-81,35181
Apr-81,33824
May-81,3255
Jun-81,-822
Jul-81,5179
Aug-81,12310
Sep-81,22082
Oct-81,64923
Nov-81,22354
Dec-81,51318
Jan-82,42547
Feb-82,72053
Mar-82,100301
Apr-82,65992
May-82,48732
Jun-82,18397
Jul-82,34923
Aug-82,62382
Sep-82,65176
Oct-82,-28151
Nov-82,-15829
Dec-82,43201
Jan-83,11106
Feb-83,48712
Mar-83,198250
Apr-83,100203
May-83,173395
Jun-83,78289
Jul-83,62397
Aug-83,18615
Sep-83,-784
Oct-83,61543
Nov-83,45920
Dec-83,70786
Jan-84,51148
Feb-84,41714
Mar-84,45175
Apr-84,48185
May-84,-21304
Jun-84,-13346
Jul-84,-12013
Aug-84,69095
Sep-84,62515
Oct-84,53883
Nov-84,25012
