,Run40
Sep-49,400298
Oct-49,522751
Nov-49,458617
Dec-49,355922
Jan-50,349824
Feb-50,374692
Mar-50,563807
Apr-50,1281479
May-50,2239709
Jun-50,3862655
Jul-50,1950714
Aug-50,751542
Sep-50,399789
Oct-50,413820
Nov-50,355486
Dec-50,406352
Jan-51,304993
Feb-51,341914
Mar-51,414822
Apr-51,588687
May-51,2133211
Jun-51,3693973
Jul-51,2155179
Aug-51,1127697
Sep-51,509573
Oct-51,426832
Nov-51,437328
Dec-51,344670
Jan-52,481218
Feb-52,374985
Mar-52,425813
Apr-52,2449532
May-52,5554490
Jun-52,6221122
Jul-52,2249717
Aug-52,1214481
Sep-52,669865
Oct-52,365807
Nov-52,365949
Dec-52,368640
Jan-53,398606
Feb-53,355363
Mar-53,450303
Apr-53,569997
May-53,1342116
Jun-53,3943396
Jul-53,1601452
Aug-53,1001118
Sep-53,392108
Oct-53,310801
Nov-53,419779
Dec-53,338254
Jan-54,313599
Feb-54,329977
Mar-54,380026
Apr-54,705647
May-54,1804002
Jun-54,1385207
Jul-54,1206426
Aug-54,639193
Sep-54,471089
Oct-54,555384
Nov-54,346374
Dec-54,287298
Jan-55,255833
Feb-55,249237
Mar-55,562115
Apr-55,710931
May-55,1993763
Jun-55,2341513
Jul-55,1174836
Aug-55,885416
Sep-55,346535
Oct-55,219232
Nov-55,275966
Dec-55,342792
Jan-56,365004
Feb-56,280978
Mar-56,571749
Apr-56,1053972
May-56,2926653
Jun-56,3504889
Jul-56,1112262
Aug-56,680002
Sep-56,288849
Oct-56,191413
Nov-56,302744
Dec-56,259496
Jan-57,297651
Feb-57,333983
Mar-57,474125
Apr-57,878830
May-57,2889416
Jun-57,6790968
Jul-57,4858314
Aug-57,1949273
Sep-57,985205
Oct-57,746112
Nov-57,810958
Dec-57,498026
Jan-58,390894
Feb-58,527759
Mar-58,671134
Apr-58,1610427
May-58,4780048
Jun-58,4500477
Jul-58,1257846
Aug-58,653520
Sep-58,423615
Oct-58,328067
Nov-58,354498
Dec-58,361726
Jan-59,304845
Feb-59,305145
Mar-59,354366
Apr-59,487365
May-59,1422316
Jun-59,2877629
Jul-59,1389991
Aug-59,736482
Sep-59,322670
Oct-59,555144
Nov-59,509873
Dec-59,354067
Jan-60,285975
Feb-60,308663
Mar-60,742510
Apr-60,1748018
May-60,2032109
Jun-60,3235688
Jul-60,1321275
Aug-60,563700
Sep-60,320255
Oct-60,355068
Nov-60,349739
Dec-60,266387
Jan-61,246005
Feb-61,312749
Mar-61,373366
Apr-61,636851
May-61,1695847
Jun-61,2510332
Jul-61,924536
Aug-61,696176
Sep-61,832005
Oct-61,802533
Nov-61,545887
Dec-61,374486
Jan-62,337574
Feb-62,729411
Mar-62,620161
Apr-62,2585277
May-62,4111052
Jun-62,3887117
Jul-62,2487676
Aug-62,884750
Sep-62,394885
Oct-62,542207
Nov-62,434429
Dec-62,343926
Jan-63,202192
Feb-63,368705
Mar-63,572022
Apr-63,769091
May-63,1860875
Jun-63,1828576
Jul-63,887456
Aug-63,659621
Sep-63,646109
Oct-63,289986
Nov-63,318158
Dec-63,227749
Jan-64,227247
Feb-64,233631
Mar-64,292967
Apr-64,619011
May-64,2430315
Jun-64,2902376
Jul-64,1664574
Aug-64,847351
Sep-64,327988
Oct-64,250557
Nov-64,290015
Dec-64,328025
Jan-65,342215
Feb-65,345973
Mar-65,393393
Apr-65,1342599
May-65,3336138
Jun-65,5562406
Jul-65,3750056
Aug-65,1552006
Sep-65,865586
Oct-65,845065
Nov-65,560645
Dec-65,520577
Jan-66,392813
Feb-66,364477
Mar-66,934639
Apr-66,1247012
May-66,2431492
Jun-66,1843730
Jul-66,1010284
Aug-66,560905
Sep-66,349087
Oct-66,318330
Nov-66,332153
Dec-66,377204
Jan-67,274882
Feb-67,319861
Mar-67,547277
Apr-67,582418
May-67,1846928
Jun-67,3837961
Jul-67,2033017
Aug-67,835002
Sep-67,403511
Oct-67,259909
Nov-67,325508
Dec-67,239190
Jan-68,321818
Feb-68,387655
Mar-68,494565
Apr-68,619493
May-68,2211325
Jun-68,4952291
Jul-68,1696878
Aug-68,1420247
Sep-68,409746
Oct-68,432170
Nov-68,394573
Dec-68,313739
Jan-69,400614
Feb-69,361125
Mar-69,545552
Apr-69,1911511
May-69,3765327
Jun-69,2892809
Jul-69,1991603
Aug-69,858936
Sep-69,584544
Oct-69,694039
Nov-69,518108
Dec-69,391796
Jan-70,357892
Feb-70,347394
Mar-70,421423
Apr-70,585390
May-70,3676415
Jun-70,4071363
Jul-70,1983374
Aug-70,889796
Sep-70,1118818
Oct-70,613981
Nov-70,489041
Dec-70,393108
Jan-71,432097
Feb-71,457815
Mar-71,609612
Apr-71,1357266
May-71,2483329
Jun-71,4372160
Jul-71,2087585
Aug-71,926476
Sep-71,622373
Oct-71,651727
Nov-71,528640
Dec-71,454734
Jan-72,448788
Feb-72,445623
Mar-72,815869
Apr-72,828422
May-72,1982707
Jun-72,3759631
Jul-72,1211126
Aug-72,705952
Sep-72,565911
Oct-72,1260293
Nov-72,641303
Dec-72,450819
Jan-73,424521
Feb-73,490301
Mar-73,890800
Apr-73,1438040
May-73,4575588
Jun-73,4847625
Jul-73,2681008
Aug-73,951543
Sep-73,618929
Oct-73,400691
Nov-73,457253
Dec-73,381396
Jan-74,393138
Feb-74,360632
Mar-74,777261
Apr-74,957530
May-74,3351494
Jun-74,3264317
Jul-74,1517961
Aug-74,734421
Sep-74,369216
Oct-74,411194
Nov-74,483349
Dec-74,302603
Jan-75,341824
Feb-75,359683
Mar-75,623969
Apr-75,890650
May-75,2780986
Jun-75,4978600
Jul-75,3857074
Aug-75,1005443
Sep-75,531414
Oct-75,380259
Nov-75,399933
Dec-75,385483
Jan-76,331730
Feb-76,470735
Mar-76,550361
Apr-76,869756
May-76,2512577
Jun-76,2769954
Jul-76,1290965
Aug-76,742650
Sep-76,495387
Oct-76,413060
Nov-76,346134
Dec-76,249580
Jan-77,288846
Feb-77,300370
Mar-77,269033
Apr-77,374745
May-77,616062
Jun-77,947657
Jul-77,657162
Aug-77,589975
Sep-77,383403
Oct-77,312754
Nov-77,325621
Dec-77,312664
Jan-78,367653
Feb-78,315205
Mar-78,648052
Apr-78,1297049
May-78,2767077
Jun-78,4926296
Jul-78,2431011
Aug-78,786965
Sep-78,403341
Oct-78,337399
Nov-78,484102
Dec-78,396349
Jan-79,378732
Feb-79,400172
Mar-79,820949
Apr-79,1857935
May-79,4004959
Jun-79,5027338
Jul-79,2480419
Aug-79,1031876
Sep-79,390315
Oct-79,323478
Nov-79,383915
Dec-79,341805
Jan-80,454684
Feb-80,621726
Mar-80,655940
Apr-80,1533234
May-80,4411471
Jun-80,5201915
Jul-80,2031050
Aug-80,666238
Sep-80,685483
Oct-80,352554
Nov-80,413853
Dec-80,414332
Jan-81,331567
Feb-81,320629
Mar-81,403130
Apr-81,681181
May-81,1246368
Jun-81,2313366
Jul-81,1089292
Aug-81,500076
Sep-81,574519
Oct-81,672173
Nov-81,434080
Dec-81,352594
Jan-82,295133
Feb-82,394299
Mar-82,686540
Apr-82,1065219
May-82,3217893
Jun-82,4244440
Jul-82,2772376
Aug-82,1570518
Sep-82,1020877
Oct-82,886499
Nov-82,635939
Dec-82,544457
Jan-83,423567
Feb-83,485327
Mar-83,985565
Apr-83,1250387
May-83,3844250
Jun-83,7590260
Jul-83,4408120
Aug-83,1927367
Sep-83,750412
Oct-83,829407
Nov-83,555885
Dec-83,526566
Jan-84,310986
Feb-84,465743
Mar-84,787670
Apr-84,1579519
May-84,6628365
Jun-84,6456844
Jul-84,3371618
Aug-84,1801959
Sep-84,862661
Oct-84,889384
Nov-84,652437
Dec-84,548175
Jan-85,474758
Feb-85,468732
Mar-85,1198726
Apr-85,2842590
May-85,5606346
Jun-85,4681628
Jul-85,2060833
Aug-85,975205
Sep-85,641810
Oct-85,879840
Nov-85,638135
Dec-85,568198
Jan-86,417066
Feb-86,681506
Mar-86,1063277
Apr-86,2388118
May-86,4287464
Jun-86,6102721
Jul-86,3145858
Aug-86,1231618
Sep-86,901060
Oct-86,1162226
Nov-86,924435
Dec-86,607346
Jan-87,403857
Feb-87,646537
Mar-87,1017567
Apr-87,2161451
May-87,3702789
Jun-87,3034067
Jul-87,1343149
Aug-87,981469
Sep-87,567708
Oct-87,496556
Nov-87,609124
Dec-87,327080
Jan-88,307888
Feb-88,451751
Mar-88,732772
Apr-88,1225314
May-88,2199411
Jun-88,2748578
Jul-88,1277149
Aug-88,787069
Sep-88,477617
Oct-88,409134
Nov-88,283363
Dec-88,260948
Jan-89,222081
Feb-89,360834
Mar-89,872993
Apr-89,1291533
May-89,1778580
Jun-89,1899997
Jul-89,1066521
Aug-89,739463
Sep-89,344127
Oct-89,304902
Nov-89,326339
Dec-89,245370
Jan-90,266122
Feb-90,267972
Mar-90,428196
Apr-90,694214
May-90,1309652
Jun-90,2633045
Jul-90,1322103
Aug-90,643630
Sep-90,523536
Oct-90,576698
Nov-90,429723
Dec-90,244322
Jan-91,308189
Feb-91,387148
Mar-91,535324
Apr-91,945976
May-91,2361798
Jun-91,3428823
Jul-91,1432997
Aug-91,907252
Sep-91,768202
Oct-91,325121
Nov-91,549576
Dec-91,356928
Jan-92,307262
Feb-92,466123
Mar-92,678690
Apr-92,1246016
May-92,2497785
Jun-92,2062163
Jul-92,1226543
Aug-92,816360
Sep-92,544912
Oct-92,367887
Nov-92,426490
Dec-92,286001
Jan-93,537159
Feb-93,492886
Mar-93,1002047
Apr-93,1560017
May-93,4904073
Jun-93,5077556
Jul-93,2289721
Aug-93,1088320
Sep-93,649655
Oct-93,538151
Nov-93,412652
Dec-93,347165
Jan-94,375163
Feb-94,355853
Mar-94,708445
Apr-94,927766
May-94,2495467
Jun-94,2418104
Jul-94,917464
Aug-94,607103
Sep-94,483125
Oct-94,496877
Nov-94,396093
Dec-94,374476
Jan-95,332823
Feb-95,435723
Mar-95,932704
Apr-95,862831
May-95,2642353
Jun-95,6422751
Jul-95,4852632
Aug-95,1546500
Sep-95,563335
Oct-95,537652
Nov-95,464973
Dec-95,380144
Jan-96,365854
Feb-96,483711
Mar-96,523383
Apr-96,1218497
May-96,3562190
Jun-96,3603750
Jul-96,1810436
Aug-96,636451
Sep-96,466084
Oct-96,498270
Nov-96,605834
Dec-96,443537
Jan-97,458925
Feb-97,385122
Mar-97,1173454
Apr-97,1700889
May-97,4911189
Jun-97,6051008
Jul-97,2176510
Aug-97,1463219
Sep-97,1316687
Oct-97,957037
Nov-97,636013
Dec-97,454378
Jan-98,493364
Feb-98,441149
Mar-98,828494
Apr-98,1518916
May-98,3878483
Jun-98,3568588
Jul-98,2377056
Aug-98,1128181
Sep-98,686904
Oct-98,681440
Nov-98,711798
Dec-98,390378
Jan-99,466548
Feb-99,442104
Mar-99,664607
Apr-99,914529
May-99,2833327
Jun-99,4483230
Jul-99,2338627
Aug-99,1612011
Sep-99,913302
Oct-99,460266
Nov-99,385793
Dec-99,357784
Jan-00,401041
Feb-00,416702
Mar-00,554739
Apr-00,1213677
May-00,2690228
Jun-00,2185673
Jul-00,944249
Aug-00,503050
Sep-00,428106
Oct-00,450518
Nov-00,395646
Dec-00,350281
1-Jan,317179
1-Feb,336124
1-Mar,655832
1-Apr,1001066
1-May,3040039
1-Jun,2234377
1-Jul,1034107
1-Aug,781663
1-Sep,431552
1-Oct,279510
1-Nov,334159
1-Dec,281292
2-Jan,278153
2-Feb,255371
2-Mar,383027
2-Apr,623696
2-May,820372
2-Jun,1056859
2-Jul,647606
2-Aug,388559
2-Sep,523669
2-Oct,347771
2-Nov,412497
2-Dec,285909
3-Jan,280391
3-Feb,267592
3-Mar,519644
3-Apr,713552
3-May,2267512
3-Jun,2914120
3-Jul,1176085
3-Aug,595114
3-Sep,674550
3-Oct,380831
3-Nov,414537
3-Dec,335575
4-Jan,288312
4-Feb,317079
4-Mar,760340
4-Apr,1129778
4-May,2039820
4-Jun,1784303
4-Jul,1040272
4-Aug,485046
4-Sep,471967
4-Oct,621958
4-Nov,570108
4-Dec,421083
5-Jan,663978
5-Feb,558808
5-Mar,714623
5-Apr,1774031
5-May,4162824
5-Jun,4341039
5-Jul,1936368
5-Aug,856316
5-Sep,493149
5-Oct,737983
5-Nov,507180
5-Dec,378056
6-Jan,396837
6-Feb,329415
6-Mar,540528
6-Apr,1537650
6-May,3236583
6-Jun,2500635
6-Jul,1149071
6-Aug,778284
6-Sep,537900
6-Oct,1563239
6-Nov,578081
6-Dec,401814
7-Jan,336811
7-Feb,455360
7-Mar,1012877
7-Apr,1191458
7-May,2547942
7-Jun,2130357
7-Jul,1055144
7-Aug,816825
7-Sep,478231
7-Oct,570768
7-Nov,414124
7-Dec,409880
8-Jan,366598
8-Feb,475240
8-Mar,742631
8-Apr,1366862
8-May,3585223
8-Jun,4807796
8-Jul,2223542
8-Aug,868704
8-Sep,484084
8-Oct,437242
8-Nov,430154
