elevation,storage,area
1127,14291.87641,100191.8446
1127.5,14342.01378,100391.3435
1128,14392.26085,100617.1534
1128.5,14442.62356,100840.9321
1129,14493.09525,101062.5536
1129.5,14543.67607,101254.7957
1130,14594.35351,101477.268
1130.5,14645.13727,101703.9731
1131,14696.03959,101926.9418
1131.5,14747.05312,102120.593
1132,14798.16326,102349.9933
1132.5,14849.3885,102544.43
1133,14900.71103,102784.1612
1133.5,14952.15456,102983.9357
1134,15003.68879,103188.8269
1134.5,15055.35133,103426.2217
1135,15107.11897,103670.2909
1135.5,15159.01297,104284.7263
1136,15211.31557,104815.9102
1136.5,15263.81757,105182.9884
1137,15316.4713,105460.3982
1137.5,15369.28829,105757.9986
1138,15422.23317,106073.2113
1138.5,15475.3381,106345.3879
1139,15528.5744,106649.2239
1139.5,15581.95828,106878.5989
1140,15635.4494,107119.5383
1140.5,15689.10263,107440.359
1141,15742.87938,107706.7051
1141.5,15796.78864,107924.4681
1142,15850.80786,108202.9707
1142.5,15904.9694,108439.6934
1143,15959.24587,108713.037
1143.5,16013.64559,108922.2391
1144,16068.16143,109197.8004
1144.5,16122.82201,109439.0295
1145,16177.60087,109719.2185
1145.5,16232.52058,109952.863
1146,16287.55766,110242.0336
1146.5,16342.73617,110505.881
1147,16398.05021,110789.9358
1147.5,16453.50545,111023.0901
1148,16509.07723,111305.982
1148.5,16564.79592,111557.3807
1149,16620.63495,111838.7625
1149.5,16676.61555,112076.5742
1150,16732.70519,112323.0611
1150.5,16788.95434,112626.3887
1151,16845.33189,112916.8178
1151.5,16901.85594,113194.37
1152,16958.54783,113557.4517
1152.5,17015.39475,113820.3194
1153,17072.35841,114072.0982
1153.5,17129.47274,114344.8905
1154,17186.70653,114616.3753
1154.5,17244.07887,114873.1699
1155,17301.5816,115153.1623
1155.5,17359.21867,115387.1902
1156,17416.9614,115624.3634
1156.5,17474.85809,115912.1389
1157,17532.87699,116204.792
1157.5,17591.04505,116466.0847
1158,17649.3688,116849.0361
1158.5,17707.85977,117105.4584
1159,17766.47832,117410.2184
1159.5,17825.24289,117683.3702
1160,17884.15413,117993.744
1160.5,17943.22291,118275.0716
1161,18002.43185,118592.5856
1161.5,18061.79985,118870.4946
1162,18121.30696,119191.5252
1162.5,18180.96268,119472.0586
1163,18240.77093,119795.1132
1163.5,18300.74014,120072.5527
1164,18360.84899,120422.2648
1164.5,18421.1377,120716.5177
1165,18481.57795,121098.9545
1165.5,18542.19196,121398.1503
1166,18602.97172,121792.7678
1166.5,18663.94711,122102.4486
1167,18725.07832,122473.7162
1167.5,18786.39509,122787.1768
1168,18847.87449,123167.886
1168.5,18909.54042,123492.0517
1169,18971.35991,123829.4225
1169.5,19033.3956,124275.4841
1170,19095.62203,124673.047
1170.5,19158.04272,125002.3851
1171,19220.62881,125393.594
1171.5,19283.41518,125752.7681
1172,19346.37017,126109.2489
1172.5,19409.53709,126506.6851
1173,19472.88144,126903.4521
1173.5,19536.42346,127257.6621
1174,19600.1435,127655.0837
1174.5,19664.06499,128031.3251
1175,19728.17106,128425.9667
1175.5,19792.45872,128767.1798
1176,19856.92815,129147.3881
1176.5,19921.58679,129478.1711
1177,19986.40845,129833.9234
1177.5,20051.40417,130139.8828
1178,20116.55204,130489.5893
1178.5,20181.8621,130795.1078
1179,20247.3456,131158.2984
1179.5,20313.00224,131459.7536
1180,20378.8093,131791.7839
1180.5,20444.7797,132080.8726
1181,20510.89334,132402.3527
1181.5,20577.15606,132693.9064
1182,20643.60371,133085.7406
1182.5,20710.2224,133380.3627
1183,20776.98706,133699.337
1183.5,20843.91199,133992.4493
1184,20910.98507,134311.7699
1184.5,20978.21854,134615.1972
1185,21045.59148,134923.2762
1185.5,21113.14258,135256.3458
1186,21180.85102,135597.9523
1186.5,21248.73034,135912.3176
1187,21316.76716,136249.3722
1187.5,21384.97247,136567.1332
1188,21453.33109,136896.5729
1188.5,21521.87117,137232.5564
1189,21590.56837,137569.8123
1189.5,21659.43281,137909.7674
1190,21728.46862,138245.6428
1190.5,21797.66927,138549.0392
1191,21867.02176,138873.0965
1191.5,21936.52252,139178.9994
1192,22006.19391,139519.0518
1192.5,22076.03644,139842.361
1193,22146.04028,140183.3329
1193.5,22216.21489,140506.725
1194,22286.5519,140854.9302
1194.5,22357.05188,141193.4718
1195,22427.73583,141553.9937
1195.5,22498.59786,141885.1208
1196,22569.62408,142223.7465
1196.5,22640.81646,142536.3283
1197,22712.16576,142870.398
1197.5,22783.66833,143189.3483
1198,22855.34637,143531.3192
1198.5,22927.19568,143855.3864
1199,22999.20503,144191.4843
1199.5,23071.3813,144503.7109
1200,23143.71357,144834.116
1200.5,23216.21038,145144.1523
1201,23288.8489,145458.0234
1201.5,23361.67853,145852.8297
1202,23434.68796,146196.8884
1202.5,23507.87503,146560.8693
1203,23581.32643,147143.769
1203.5,23654.98615,147480.3985
1204,23728.79451,147803.1686
1204.5,23802.78809,148147.6718
1205,23876.94951,148511.0185
1205.5,23951.31397,148937.6556
1206,24025.86887,149292.4534
1206.5,24100.60171,149631.1098
1207,24175.48739,149961.5901
1207.5,24250.56102,150302.9951
1208,24325.7951,150642.9333
1208.5,24401.19868,150961.1885
1209,24476.76019,151297.7266
1209.5,24552.48973,151609.7042
1210,24628.37512,151940.8547
1210.5,24704.41104,152254.1521
1211,24780.61733,152579.7027
1211.5,24856.9857,152883.6147
1212,24933.50431,153196.4679
1212.5,25010.17823,153489.5306
1213,25086.99812,153793.1251
1213.5,25163.95409,154082.1089
1214,25241.07029,154385.3106
1214.5,25318.33704,154672.072
1215,25395.74717,154967.7902
1215.5,25473.30218,155241.2571
1216,25550.9919,155517.1063
1216.5,25628.81946,155782.4726
1217,25706.7636,156056.5731
1217.5,25784.86027,156321.0222
1218,25863.08995,156597.7296
1218.5,25941.4581,156865.5998
1219,26019.96015,157142.0382
1219.5,26098.60114,157411.9559
1220,26177.36133,157682.9385
1220.5,26256.27973,157972.2409
1221,26335.33845,158262.4194
1221.5,26414.54266,158545.3633
1222,26493.89188,158853.2785
1222.5,26573.39669,159156.6686
1223,26653.03773,159461.085
1223.5,26732.85161,159773.8
1224,26812.81584,160079.091
1224.5,26892.93011,160367.3785
1225,26973.18665,160654.9562
1225.5,27053.58598,160931.244
1226,27134.12355,161217.7305
1226.5,27214.7875,161493.2036
1227,27295.6059,161777.4101
1227.5,27376.56571,162052.724
1228,27457.66441,162341.394
1228.5,27538.90865,162624.4683
1229,27620.29412,162915.7876
1229.5,27701.8103,163204.8774
1230,27783.48829,163503.9869
1250,30809.525,175800
