elevation,storage,area
3662,18755.8678,132373.8
3662.5,18822.14687,132742.5
3663,18888.6103,133111.2
3663.5,18955.25807,133479.9
3664,19022.0902,133848.6
3664.5,19089.10667,134217.3
3665,19156.3075,134586
3665.5,19223.69267,134954.7
3666,19291.2622,135323.4
3666.5,19359.01607,135692.1
3667,19426.9543,136060.8
3667.5,19495.07687,136429.5
3668,19563.3838,136798.2
3668.5,19631.87507,137166.9
3669,19700.5507,137535.6
3669.5,19769.41067,137904.3
3670,19838.455,138273
3670.5,19907.68367,138641.7
3671,19977.0967,139010.4
3671.5,20046.69407,139379.1
3672,20116.4758,139747.8
3672.5,20186.44187,140116.5
3673,20256.5923,140485.2
3673.5,20326.92707,140853.9
3674,20397.4462,141222.6
3674.5,20468.14967,141591.3
3675,20539.0375,141960
3675.5,20610.10967,142328.7
3676,20681.3662,142697.4
3676.5,20752.80707,143066.1
3677,20824.4323,143434.8
3677.5,20896.24187,143803.5
3678,20968.2358,144172.2
3678.5,21040.41407,144540.9
3679,21112.7767,144909.6
3679.5,21185.32367,145278.3
3680,21258.055,145647
3680.5,21330.97311,146025.42
3681,21404.08042,146403.85
3681.5,21477.37696,146782.27
3682,21550.8627,147160.7
3682.5,21624.53766,147539.12
3683,21698.40182,147917.55
3683.5,21772.45521,148295.97
3684,21846.6978,148674.4
3684.5,21921.12961,149052.82
3685,21995.75062,149431.25
3685.5,22070.56086,149809.67
3686,22145.5603,150188.1
3686.5,22220.74896,150566.52
3687,22296.12682,150944.95
3687.5,22371.69391,151323.37
3688,22447.4502,151701.8
3688.5,22523.39571,152080.22
3689,22599.53042,152458.65
3689.5,22675.85436,152837.07
3690,22752.3675,153215.5
3690.5,22829.06986,153593.92
3691,22905.96142,153972.35
3691.5,22983.04221,154350.77
3692,23060.3122,154729.2
3692.5,23137.77141,155107.62
3693,23215.41982,155486.05
3693.5,23293.25746,155864.47
3694,23371.2843,156242.9
3694.5,23449.50036,156621.32
3695,23527.90562,156999.75
3695.5,23606.50011,157378.17
3696,23685.2838,157756.6
3696.5,23764.25671,158135.02
3697,23843.41882,158513.45
3697.5,23922.77016,158891.87
3698,24002.3107,159270.3
3698.5,24082.04046,159648.72
3699,24161.95942,160027.15
3699.5,24242.06761,160405.57
3700,24322.365,160784
3700.5,24402.85878,161191.12
3701,24483.55612,161598.25
3701.5,24564.45703,162005.37
3702,24645.5615,162412.5
3702.5,24726.86953,162819.62
3703,24808.38112,163226.75
3703.5,24890.09628,163633.87
3704,24972.015,164041
3704.5,25054.13728,164448.12
3705,25136.46312,164855.25
3705.5,25218.99253,165262.37
3706,25301.7255,165669.5
3706.5,25384.66203,166076.62
3707,25467.80212,166483.75
3707.5,25551.14578,166890.87
3708,25634.693,167298
3708.5,25718.44378,167705.12
3709,25802.39812,168112.25
3709.5,25886.55603,168519.37
3710,25970.9175,168926.5
3710.5,26055.48253,169333.62
3711,26140.25112,169740.75
3711.5,26225.22328,170147.87
