,InitStorage(Powell&Mead),Inflow_Powell,Release_Mead,YearsToEmpty
6152,25,4.5,10,5
6153,25,4.5,10.5,5
6154,25,4.5,11,4
6155,25,4.5,11.5,4
6171,25,5,10.5,5
6172,25,5,11,5
6173,25,5,11.5,4
6189,25,5.5,10.5,5
6190,25,5.5,11,5
6191,25,5.5,11.5,5
6227,25,6.5,11.5,5
6563,26,3,8.5,5
6564,26,3,9,5
6565,26,3,9.5,4
6566,26,3,10,4
6567,26,3,10.5,4
6568,26,3,11,4
6569,26,3,11.5,4
6582,26,3.5,9,5
6583,26,3.5,9.5,5
6584,26,3.5,10,4
6585,26,3.5,10.5,4
6586,26,3.5,11,4
6587,26,3.5,11.5,4
6601,26,4,9.5,5
6602,26,4,10,5
6603,26,4,10.5,5
6604,26,4,11,4
6605,26,4,11.5,4
6620,26,4.5,10,5
6621,26,4.5,10.5,5
6622,26,4.5,11,4
6623,26,4.5,11.5,4
6639,26,5,10.5,5
6640,26,5,11,5
6641,26,5,11.5,4
6658,26,5.5,11,5
6659,26,5.5,11.5,5
7031,27,3,8.5,5
7032,27,3,9,5
7033,27,3,9.5,5
7034,27,3,10,4
7035,27,3,10.5,4
7036,27,3,11,4
7037,27,3,11.5,4
7050,27,3.5,9,5
7051,27,3.5,9.5,5
7052,27,3.5,10,5
7053,27,3.5,10.5,4
7054,27,3.5,11,4
7055,27,3.5,11.5,4
7069,27,4,9.5,5
7070,27,4,10,5
7071,27,4,10.5,5
7072,27,4,11,4
7073,27,4,11.5,4
7088,27,4.5,10,5
7089,27,4.5,10.5,5
7090,27,4.5,11,5
7091,27,4.5,11.5,4
7107,27,5,10.5,5
7108,27,5,11,5
7109,27,5,11.5,5
7126,27,5.5,11,5
7127,27,5.5,11.5,5
7500,28,3,9,5
7501,28,3,9.5,5
7502,28,3,10,4
7503,28,3,10.5,4
7504,28,3,11,4
7505,28,3,11.5,4
7519,28,3.5,9.5,5
7520,28,3.5,10,5
7521,28,3.5,10.5,4
7522,28,3.5,11,4
7523,28,3.5,11.5,4
7538,28,4,10,5
7539,28,4,10.5,5
7540,28,4,11,4
7541,28,4,11.5,4
7557,28,4.5,10.5,5
7558,28,4.5,11,5
7559,28,4.5,11.5,4
7576,28,5,11,5
7577,28,5,11.5,5
7595,28,5.5,11.5,5
7968,29,3,9,5
7969,29,3,9.5,5
7970,29,3,10,5
7971,29,3,10.5,4
7972,29,3,11,4
7973,29,3,11.5,4
7987,29,3.5,9.5,5
7988,29,3.5,10,5
7989,29,3.5,10.5,5
7990,29,3.5,11,4
7991,29,3.5,11.5,4
8006,29,4,10,5
8007,29,4,10.5,5
8008,29,4,11,5
8009,29,4,11.5,4
8025,29,4.5,10.5,5
8026,29,4.5,11,5
8027,29,4.5,11.5,5
8044,29,5,11,5
8045,29,5,11.5,5
8063,29,5.5,11.5,5
8436,30,3,9,5
8437,30,3,9.5,5
8438,30,3,10,5
8439,30,3,10.5,4
8440,30,3,11,4
8441,30,3,11.5,4
8455,30,3.5,9.5,5
8456,30,3.5,10,5
8457,30,3.5,10.5,5
8458,30,3.5,11,4
8459,30,3.5,11.5,4
8474,30,4,10,5
8475,30,4,10.5,5
8476,30,4,11,5
8477,30,4,11.5,4
8493,30,4.5,10.5,5
8494,30,4.5,11,5
8495,30,4.5,11.5,5
8512,30,5,11,5
8513,30,5,11.5,5
8531,30,5.5,11.5,5
8905,31,3,9.5,5
8906,31,3,10,5
8907,31,3,10.5,5
8908,31,3,11,4
8909,31,3,11.5,4
8924,31,3.5,10,5
8925,31,3.5,10.5,5
8926,31,3.5,11,5
8927,31,3.5,11.5,4
8943,31,4,10.5,5
8944,31,4,11,5
8945,31,4,11.5,5
8962,31,4.5,11,5
8963,31,4.5,11.5,5
8981,31,5,11.5,5
9373,32,3,9.5,5
9374,32,3,10,5
9375,32,3,10.5,5
9376,32,3,11,4
9377,32,3,11.5,4
9392,32,3.5,10,5
9393,32,3.5,10.5,5
9394,32,3.5,11,5
9395,32,3.5,11.5,4
9411,32,4,10.5,5
9412,32,4,11,5
9413,32,4,11.5,5
9430,32,4.5,11,5
9431,32,4.5,11.5,5
9449,32,5,11.5,5
9841,33,3,9.5,5
9842,33,3,10,5
9843,33,3,10.5,5
9844,33,3,11,5
9845,33,3,11.5,4
9860,33,3.5,10,5
9861,33,3.5,10.5,5
9862,33,3.5,11,5
9863,33,3.5,11.5,5
9879,33,4,10.5,5
9880,33,4,11,5
9881,33,4,11.5,5
9898,33,4.5,11,5
9899,33,4.5,11.5,5
9917,33,5,11.5,5
10310,34,3,10,5
10311,34,3,10.5,5
10312,34,3,11,5
10313,34,3,11.5,4
10329,34,3.5,10.5,5
10330,34,3.5,11,5
10331,34,3.5,11.5,5
10348,34,4,11,5
10349,34,4,11.5,5
10367,34,4.5,11.5,5
10778,35,3,10,5
10779,35,3,10.5,5
10780,35,3,11,5
10781,35,3,11.5,5
10797,35,3.5,10.5,5
10798,35,3.5,11,5
10799,35,3.5,11.5,5
10816,35,4,11,5
10817,35,4,11.5,5
10835,35,4.5,11.5,5
11247,36,3,10.5,5
11248,36,3,11,5
11249,36,3,11.5,5
11266,36,3.5,11,5
11267,36,3.5,11.5,5
11285,36,4,11.5,5
11715,37,3,10.5,5
11716,37,3,11,5
11717,37,3,11.5,5
11734,37,3.5,11,5
11735,37,3.5,11.5,5
11753,37,4,11.5,5
12183,38,3,10.5,5
12184,38,3,11,5
12185,38,3,11.5,5
12202,38,3.5,11,5
12203,38,3.5,11.5,5
12221,38,4,11.5,5
12652,39,3,11,5
12653,39,3,11.5,5
12671,39,3.5,11.5,5
