,InitStorage(Powell&Mead),Inflow_Powell,Release_Mead,YearsTo12MAF
1961,16,5,11.5,1
1969,16,5.5,6.5,4
1970,16,5.5,7,3
1971,16,5.5,7.5,2
1972,16,5.5,8,2
1973,16,5.5,8.5,2
1974,16,5.5,9,2
1975,16,5.5,9.5,1
1976,16,5.5,10,1
1977,16,5.5,10.5,1
1978,16,5.5,11,1
1979,16,5.5,11.5,1
1988,16,6,7,4
1989,16,6,7.5,3
1990,16,6,8,2
1991,16,6,8.5,2
1992,16,6,9,2
1993,16,6,9.5,2
1994,16,6,10,1
1995,16,6,10.5,1
1996,16,6,11,1
1997,16,6,11.5,1
2007,16,6.5,7.5,4
2008,16,6.5,8,3
2009,16,6.5,8.5,2
2010,16,6.5,9,2
2011,16,6.5,9.5,2
2012,16,6.5,10,2
2013,16,6.5,10.5,1
2014,16,6.5,11,1
2015,16,6.5,11.5,1
2026,16,7,8,4
2027,16,7,8.5,3
2028,16,7,9,2
2029,16,7,9.5,2
2030,16,7,10,2
2031,16,7,10.5,2
2032,16,7,11,1
2033,16,7,11.5,1
2045,16,7.5,8.5,4
2046,16,7.5,9,3
2047,16,7.5,9.5,2
2048,16,7.5,10,2
2049,16,7.5,10.5,2
2050,16,7.5,11,2
2051,16,7.5,11.5,1
2064,16,8,9,4
2065,16,8,9.5,3
2066,16,8,10,2
2067,16,8,10.5,2
2068,16,8,11,2
2069,16,8,11.5,2
2083,16,8.5,9.5,4
2084,16,8.5,10,3
2085,16,8.5,10.5,2
2086,16,8.5,11,2
2087,16,8.5,11.5,2
2102,16,9,10,4
2103,16,9,10.5,3
2104,16,9,11,2
2105,16,9,11.5,2
2121,16,9.5,10.5,4
2122,16,9.5,11,3
2123,16,9.5,11.5,2
2140,16,10,11,4
2141,16,10,11.5,3
2159,16,10.5,11.5,4
2342,17,3,4,5
2343,17,3,4.5,4
2344,17,3,5,3
2345,17,3,5.5,2
2346,17,3,6,2
2347,17,3,6.5,2
2348,17,3,7,2
2349,17,3,7.5,2
2350,17,3,8,1
2351,17,3,8.5,1
2352,17,3,9,1
2353,17,3,9.5,1
2354,17,3,10,1
2355,17,3,10.5,1
2356,17,3,11,1
2357,17,3,11.5,1
2361,17,3.5,4.5,5
2362,17,3.5,5,4
2363,17,3.5,5.5,3
2364,17,3.5,6,2
2365,17,3.5,6.5,2
2366,17,3.5,7,2
2367,17,3.5,7.5,2
2368,17,3.5,8,2
2369,17,3.5,8.5,1
2370,17,3.5,9,1
2371,17,3.5,9.5,1
2372,17,3.5,10,1
2373,17,3.5,10.5,1
2374,17,3.5,11,1
2375,17,3.5,11.5,1
2380,17,4,5,5
2381,17,4,5.5,4
2382,17,4,6,3
2383,17,4,6.5,2
2384,17,4,7,2
2385,17,4,7.5,2
2386,17,4,8,2
2387,17,4,8.5,2
2388,17,4,9,1
2389,17,4,9.5,1
2390,17,4,10,1
2391,17,4,10.5,1
2392,17,4,11,1
2393,17,4,11.5,1
2399,17,4.5,5.5,5
2400,17,4.5,6,4
2401,17,4.5,6.5,3
2402,17,4.5,7,2
2403,17,4.5,7.5,2
2404,17,4.5,8,2
2405,17,4.5,8.5,2
2406,17,4.5,9,2
2407,17,4.5,9.5,1
2408,17,4.5,10,1
2409,17,4.5,10.5,1
2410,17,4.5,11,1
2411,17,4.5,11.5,1
2418,17,5,6,5
2419,17,5,6.5,4
2420,17,5,7,3
2421,17,5,7.5,2
2422,17,5,8,2
2423,17,5,8.5,2
2424,17,5,9,2
2425,17,5,9.5,2
2426,17,5,10,1
2427,17,5,10.5,1
2428,17,5,11,1
2429,17,5,11.5,1
2437,17,5.5,6.5,5
2438,17,5.5,7,4
2439,17,5.5,7.5,3
2440,17,5.5,8,2
2441,17,5.5,8.5,2
2442,17,5.5,9,2
2443,17,5.5,9.5,2
2444,17,5.5,10,2
2445,17,5.5,10.5,1
2446,17,5.5,11,1
2447,17,5.5,11.5,1
2456,17,6,7,5
2457,17,6,7.5,4
2458,17,6,8,3
2459,17,6,8.5,2
2460,17,6,9,2
2461,17,6,9.5,2
2462,17,6,10,2
2463,17,6,10.5,2
2464,17,6,11,1
2465,17,6,11.5,1
2475,17,6.5,7.5,5
2476,17,6.5,8,4
2477,17,6.5,8.5,3
2478,17,6.5,9,2
2479,17,6.5,9.5,2
2480,17,6.5,10,2
2481,17,6.5,10.5,2
2482,17,6.5,11,2
2483,17,6.5,11.5,1
2494,17,7,8,5
2495,17,7,8.5,4
2496,17,7,9,3
2497,17,7,9.5,2
2498,17,7,10,2
2499,17,7,10.5,2
2500,17,7,11,2
2501,17,7,11.5,2
2513,17,7.5,8.5,5
2514,17,7.5,9,4
2515,17,7.5,9.5,3
2516,17,7.5,10,2
2517,17,7.5,10.5,2
2518,17,7.5,11,2
2519,17,7.5,11.5,2
2532,17,8,9,5
2533,17,8,9.5,4
2534,17,8,10,3
2535,17,8,10.5,2
2536,17,8,11,2
2537,17,8,11.5,2
2551,17,8.5,9.5,5
2552,17,8.5,10,4
2553,17,8.5,10.5,3
2554,17,8.5,11,2
2555,17,8.5,11.5,2
2570,17,9,10,5
2571,17,9,10.5,4
2572,17,9,11,3
2573,17,9,11.5,2
2589,17,9.5,10.5,5
2590,17,9.5,11,4
2591,17,9.5,11.5,3
2608,17,10,11,5
2609,17,10,11.5,4
2627,17,10.5,11.5,5
2811,18,3,4.5,4
2812,18,3,5,3
2813,18,3,5.5,3
2814,18,3,6,2
2815,18,3,6.5,2
2816,18,3,7,2
2817,18,3,7.5,2
2818,18,3,8,2
2819,18,3,8.5,2
2820,18,3,9,1
2821,18,3,9.5,1
2822,18,3,10,1
2823,18,3,10.5,1
2824,18,3,11,1
2825,18,3,11.5,1
2830,18,3.5,5,4
2831,18,3.5,5.5,3
2832,18,3.5,6,3
2833,18,3.5,6.5,2
2834,18,3.5,7,2
2835,18,3.5,7.5,2
2836,18,3.5,8,2
2837,18,3.5,8.5,2
2838,18,3.5,9,2
2839,18,3.5,9.5,1
2840,18,3.5,10,1
2841,18,3.5,10.5,1
2842,18,3.5,11,1
2843,18,3.5,11.5,1
2849,18,4,5.5,4
2850,18,4,6,3
2851,18,4,6.5,3
2852,18,4,7,2
2853,18,4,7.5,2
2854,18,4,8,2
2855,18,4,8.5,2
2856,18,4,9,2
2857,18,4,9.5,2
2858,18,4,10,1
2859,18,4,10.5,1
2860,18,4,11,1
2861,18,4,11.5,1
2868,18,4.5,6,4
2869,18,4.5,6.5,3
2870,18,4.5,7,3
2871,18,4.5,7.5,2
2872,18,4.5,8,2
2873,18,4.5,8.5,2
2874,18,4.5,9,2
2875,18,4.5,9.5,2
2876,18,4.5,10,2
2877,18,4.5,10.5,1
2878,18,4.5,11,1
2879,18,4.5,11.5,1
2887,18,5,6.5,4
2888,18,5,7,3
2889,18,5,7.5,3
2890,18,5,8,2
2891,18,5,8.5,2
2892,18,5,9,2
2893,18,5,9.5,2
2894,18,5,10,2
2895,18,5,10.5,2
2896,18,5,11,1
2897,18,5,11.5,1
2906,18,5.5,7,4
2907,18,5.5,7.5,3
2908,18,5.5,8,3
2909,18,5.5,8.5,2
2910,18,5.5,9,2
2911,18,5.5,9.5,2
2912,18,5.5,10,2
2913,18,5.5,10.5,2
2914,18,5.5,11,2
2915,18,5.5,11.5,1
2925,18,6,7.5,4
2926,18,6,8,3
2927,18,6,8.5,3
2928,18,6,9,2
2929,18,6,9.5,2
2930,18,6,10,2
2931,18,6,10.5,2
2932,18,6,11,2
2933,18,6,11.5,2
2944,18,6.5,8,4
2945,18,6.5,8.5,3
2946,18,6.5,9,3
2947,18,6.5,9.5,2
2948,18,6.5,10,2
2949,18,6.5,10.5,2
2950,18,6.5,11,2
2951,18,6.5,11.5,2
2963,18,7,8.5,4
2964,18,7,9,3
2965,18,7,9.5,3
2966,18,7,10,2
2967,18,7,10.5,2
2968,18,7,11,2
2969,18,7,11.5,2
2982,18,7.5,9,4
2983,18,7.5,9.5,3
2984,18,7.5,10,3
2985,18,7.5,10.5,2
2986,18,7.5,11,2
2987,18,7.5,11.5,2
3001,18,8,9.5,4
3002,18,8,10,3
3003,18,8,10.5,3
3004,18,8,11,2
3005,18,8,11.5,2
3020,18,8.5,10,4
3021,18,8.5,10.5,3
3022,18,8.5,11,3
3023,18,8.5,11.5,2
3039,18,9,10.5,4
3040,18,9,11,3
3041,18,9,11.5,3
3058,18,9.5,11,4
3059,18,9.5,11.5,3
3077,18,10,11.5,4
3279,19,3,4.5,5
3280,19,3,5,4
3281,19,3,5.5,3
3282,19,3,6,3
3283,19,3,6.5,2
3284,19,3,7,2
3285,19,3,7.5,2
3286,19,3,8,2
3287,19,3,8.5,2
3288,19,3,9,2
3289,19,3,9.5,2
3290,19,3,10,1
3291,19,3,10.5,1
3292,19,3,11,1
3293,19,3,11.5,1
3298,19,3.5,5,5
3299,19,3.5,5.5,4
3300,19,3.5,6,3
3301,19,3.5,6.5,3
3302,19,3.5,7,2
3303,19,3.5,7.5,2
3304,19,3.5,8,2
3305,19,3.5,8.5,2
3306,19,3.5,9,2
3307,19,3.5,9.5,2
3308,19,3.5,10,2
3309,19,3.5,10.5,1
3310,19,3.5,11,1
3311,19,3.5,11.5,1
3317,19,4,5.5,5
3318,19,4,6,4
3319,19,4,6.5,3
3320,19,4,7,3
3321,19,4,7.5,2
3322,19,4,8,2
3323,19,4,8.5,2
3324,19,4,9,2
3325,19,4,9.5,2
3326,19,4,10,2
3327,19,4,10.5,2
3328,19,4,11,1
3329,19,4,11.5,1
3336,19,4.5,6,5
3337,19,4.5,6.5,4
3338,19,4.5,7,3
3339,19,4.5,7.5,3
3340,19,4.5,8,2
3341,19,4.5,8.5,2
3342,19,4.5,9,2
3343,19,4.5,9.5,2
3344,19,4.5,10,2
3345,19,4.5,10.5,2
3346,19,4.5,11,2
3347,19,4.5,11.5,1
3355,19,5,6.5,5
3356,19,5,7,4
3357,19,5,7.5,3
3358,19,5,8,3
3359,19,5,8.5,2
3360,19,5,9,2
3361,19,5,9.5,2
3362,19,5,10,2
3363,19,5,10.5,2
3364,19,5,11,2
3365,19,5,11.5,2
3374,19,5.5,7,5
3375,19,5.5,7.5,4
3376,19,5.5,8,3
3377,19,5.5,8.5,3
3378,19,5.5,9,2
3379,19,5.5,9.5,2
3380,19,5.5,10,2
3381,19,5.5,10.5,2
3382,19,5.5,11,2
3383,19,5.5,11.5,2
3393,19,6,7.5,5
3394,19,6,8,4
3395,19,6,8.5,3
3396,19,6,9,3
3397,19,6,9.5,2
3398,19,6,10,2
3399,19,6,10.5,2
3400,19,6,11,2
3401,19,6,11.5,2
3412,19,6.5,8,5
3413,19,6.5,8.5,4
3414,19,6.5,9,3
3415,19,6.5,9.5,3
3416,19,6.5,10,2
3417,19,6.5,10.5,2
3418,19,6.5,11,2
