,InitStorage(Powell&Mead),Inflow_Powell,Release_Mead,YearsToEmpty
1744,15,12,11,40
1745,15,12,11.5,40
1746,15,12.5,3,40
1747,15,12.5,3.5,40
1748,15,12.5,4,40
1749,15,12.5,4.5,40
1750,15,12.5,5,40
1751,15,12.5,5.5,40
1752,15,12.5,6,40
1753,15,12.5,6.5,40
1754,15,12.5,7,40
1755,15,12.5,7.5,40
1756,15,12.5,8,40
1757,15,12.5,8.5,40
1758,15,12.5,9,40
1759,15,12.5,9.5,40
1760,15,12.5,10,40
1761,15,12.5,10.5,40
1762,15,12.5,11,40
1763,15,12.5,11.5,40
1764,15,13,3,40
1765,15,13,3.5,40
1766,15,13,4,40
1767,15,13,4.5,40
1768,15,13,5,40
1769,15,13,5.5,40
1770,15,13,6,40
1771,15,13,6.5,40
1772,15,13,7,40
1773,15,13,7.5,40
1774,15,13,8,40
1775,15,13,8.5,40
1776,15,13,9,40
1777,15,13,9.5,40
1778,15,13,10,40
1779,15,13,10.5,40
1780,15,13,11,40
1781,15,13,11.5,40
1782,15,13.5,3,40
1783,15,13.5,3.5,40
1784,15,13.5,4,40
1785,15,13.5,4.5,40
1786,15,13.5,5,40
1787,15,13.5,5.5,40
1788,15,13.5,6,40
1789,15,13.5,6.5,40
1790,15,13.5,7,40
1791,15,13.5,7.5,40
1792,15,13.5,8,40
1793,15,13.5,8.5,40
1794,15,13.5,9,40
1795,15,13.5,9.5,40
1796,15,13.5,10,40
1797,15,13.5,10.5,40
1798,15,13.5,11,40
1799,15,13.5,11.5,40
1800,15,14,3,40
1801,15,14,3.5,40
1802,15,14,4,40
1803,15,14,4.5,40
1804,15,14,5,40
1805,15,14,5.5,40
1806,15,14,6,40
1807,15,14,6.5,40
1808,15,14,7,40
1809,15,14,7.5,40
1810,15,14,8,40
1811,15,14,8.5,40
1812,15,14,9,40
1813,15,14,9.5,40
1814,15,14,10,40
1815,15,14,10.5,40
1816,15,14,11,40
1817,15,14,11.5,40
1818,15,14.5,3,40
1819,15,14.5,3.5,40
1820,15,14.5,4,40
1821,15,14.5,4.5,40
1822,15,14.5,5,40
1823,15,14.5,5.5,40
1824,15,14.5,6,40
1825,15,14.5,6.5,40
1826,15,14.5,7,40
1827,15,14.5,7.5,40
1828,15,14.5,8,40
1829,15,14.5,8.5,40
1830,15,14.5,9,40
1831,15,14.5,9.5,40
1832,15,14.5,10,40
1833,15,14.5,10.5,40
1834,15,14.5,11,40
1835,15,14.5,11.5,40
1836,15,15,3,40
1837,15,15,3.5,40
1838,15,15,4,40
1839,15,15,4.5,40
1840,15,15,5,40
1841,15,15,5.5,40
1842,15,15,6,40
1843,15,15,6.5,40
1844,15,15,7,40
1845,15,15,7.5,40
1846,15,15,8,40
1847,15,15,8.5,40
1848,15,15,9,40
1849,15,15,9.5,40
1850,15,15,10,40
1851,15,15,10.5,40
1852,15,15,11,40
1853,15,15,11.5,40
