,InitStorage(Powell&Mead),Inflow_Powell,Release_Mead,YearsTo12MAF
281,12.0,10.5,8.5,40.0
282,12.0,10.5,9.0,40.0
283,12.0,10.5,9.5,40.0
284,12.0,10.5,10.0,40.0
285,12.0,10.5,10.5,40.0
286,12.0,10.5,11.0,1.0
287,12.0,10.5,11.5,1.0
288,12.0,11.0,3.0,40.0
289,12.0,11.0,3.5,40.0
290,12.0,11.0,4.0,40.0
291,12.0,11.0,4.5,40.0
292,12.0,11.0,5.0,40.0
293,12.0,11.0,5.5,40.0
294,12.0,11.0,6.0,40.0
295,12.0,11.0,6.5,40.0
296,12.0,11.0,7.0,40.0
297,12.0,11.0,7.5,40.0
298,12.0,11.0,8.0,40.0
299,12.0,11.0,8.5,40.0
300,12.0,11.0,9.0,40.0
301,12.0,11.0,9.5,40.0
302,12.0,11.0,10.0,40.0
303,12.0,11.0,10.5,40.0
304,12.0,11.0,11.0,40.0
305,12.0,11.0,11.5,1.0
306,12.0,11.5,3.0,40.0
307,12.0,11.5,3.5,40.0
308,12.0,11.5,4.0,40.0
309,12.0,11.5,4.5,40.0
310,12.0,11.5,5.0,40.0
311,12.0,11.5,5.5,40.0
312,12.0,11.5,6.0,40.0
313,12.0,11.5,6.5,40.0
314,12.0,11.5,7.0,40.0
315,12.0,11.5,7.5,40.0
316,12.0,11.5,8.0,40.0
317,12.0,11.5,8.5,40.0
318,12.0,11.5,9.0,40.0
319,12.0,11.5,9.5,40.0
320,12.0,11.5,10.0,40.0
321,12.0,11.5,10.5,40.0
322,12.0,11.5,11.0,40.0
323,12.0,11.5,11.5,40.0
324,12.0,12.0,3.0,40.0
325,12.0,12.0,3.5,40.0
326,12.0,12.0,4.0,40.0
327,12.0,12.0,4.5,40.0
328,12.0,12.0,5.0,40.0
329,12.0,12.0,5.5,40.0
330,12.0,12.0,6.0,40.0
331,12.0,12.0,6.5,40.0
332,12.0,12.0,7.0,40.0
333,12.0,12.0,7.5,40.0
334,12.0,12.0,8.0,40.0
335,12.0,12.0,8.5,40.0
336,12.0,12.0,9.0,40.0
337,12.0,12.0,9.5,40.0
338,12.0,12.0,10.0,40.0
339,12.0,12.0,10.5,40.0
340,12.0,12.0,11.0,40.0
341,12.0,12.0,11.5,40.0
342,12.0,12.5,3.0,40.0
343,12.0,12.5,3.5,40.0
344,12.0,12.5,4.0,40.0
345,12.0,12.5,4.5,40.0
346,12.0,12.5,5.0,40.0
347,12.0,12.5,5.5,40.0
348,12.0,12.5,6.0,40.0
349,12.0,12.5,6.5,40.0
350,12.0,12.5,7.0,40.0
351,12.0,12.5,7.5,40.0
352,12.0,12.5,8.0,40.0
353,12.0,12.5,8.5,40.0
354,12.0,12.5,9.0,40.0
355,12.0,12.5,9.5,40.0
356,12.0,12.5,10.0,40.0
357,12.0,12.5,10.5,40.0
358,12.0,12.5,11.0,40.0
359,12.0,12.5,11.5,40.0
360,12.0,13.0,3.0,40.0
361,12.0,13.0,3.5,40.0
362,12.0,13.0,4.0,40.0
363,12.0,13.0,4.5,40.0
364,12.0,13.0,5.0,40.0
365,12.0,13.0,5.5,40.0
366,12.0,13.0,6.0,40.0
367,12.0,13.0,6.5,40.0
368,12.0,13.0,7.0,40.0
369,12.0,13.0,7.5,40.0
370,12.0,13.0,8.0,40.0
371,12.0,13.0,8.5,40.0
372,12.0,13.0,9.0,40.0
373,12.0,13.0,9.5,40.0
374,12.0,13.0,10.0,40.0
375,12.0,13.0,10.5,40.0
376,12.0,13.0,11.0,40.0
377,12.0,13.0,11.5,40.0
378,12.0,13.5,3.0,40.0
379,12.0,13.5,3.5,40.0
380,12.0,13.5,4.0,40.0
381,12.0,13.5,4.5,40.0
382,12.0,13.5,5.0,40.0
383,12.0,13.5,5.5,40.0
384,12.0,13.5,6.0,40.0
385,12.0,13.5,6.5,40.0
386,12.0,13.5,7.0,40.0
387,12.0,13.5,7.5,40.0
